Image Name,Predicted Class,Confidence Score
9981.jpg,"Class 4
",0.81207705
8324.jpg,"Class 6
",1.0
8241.jpg,"Class 2
",0.99913967
10798.jpg,"Class 5
",1.0
7958.jpg,"Class 3
",0.99999976
8100.jpg,"Class 4
",0.99999666
7722.jpg,"Class 4
",0.99836475
8282.jpg,"Class 5
",1.0
11542.jpg,"Class 6
",0.999987
10460.jpg,"Class 2
",0.47104925
10470.jpg,"Class 2
",0.9983754
8953.jpg,"Class 2
",0.7412106
8480.jpg,"Class 2
",0.90246004
8890.jpg,"Class 4
",0.9996195
10266.jpg,"Class 5
",0.7055533
11185.jpg,"Class 4
",1.0
8973.jpg,"Class 4
",1.0
8511.jpg,"Class 3
",0.99999857
10014.jpg,"Class 6
",0.59182674
11597.jpg,"Class 2
",0.9969553
9899.jpg,"Class 4
",1.0
7705.jpg,"Class 2
",0.998914
9372.jpg,"Class 4
",0.99080443
11161.jpg,"Class 4
",1.0
10625.jpg,"Class 6
",0.9999939
11072.jpg,"Class 6
",0.99998343
11168.jpg,"Class 4
",0.92646235
9938.jpg,"Class 2
",0.9999999
10988.jpg,"Class 2
",0.9995809
9344.jpg,"Class 5
",0.91168016
9552.jpg,"Class 6
",0.9999815
8316.jpg,"Class 2
",1.0
10714.jpg,"Class 2
",0.9985917
8912.jpg,"Class 2
",1.0
11451.jpg,"Class 5
",1.0
10343.jpg,"Class 2
",0.9991053
7403.jpg,"Class 4
",0.992812
8053.jpg,"Class 2
",0.92783445
8699.jpg,"Class 3
",1.0
10748.jpg,"Class 4
",1.0
9902.jpg,"Class 4
",1.0
10668.jpg,"Class 2
",0.92513615
7316.jpg,"Class 2
",0.90590787
7706.jpg,"Class 6
",0.9992704
7524.jpg,"Class 5
",0.99934334
8623.jpg,"Class 2
",0.8703234
8298.jpg,"Class 2
",0.8523448
9417.jpg,"Class 2
",0.99396014
8486.jpg,"Class 4
",0.9999614
8612.jpg,"Class 4
",0.9999999
10107.jpg,"Class 4
",1.0
7411.jpg,"Class 2
",0.98071665
10593.jpg,"Class 5
",1.0
7646.jpg,"Class 2
",0.54127073
7280.jpg,"Class 2
",1.0
9740.jpg,"Class 3
",0.99996114
11049.jpg,"Class 4
",0.99076617
9652.jpg,"Class 4
",0.9997054
8628.jpg,"Class 2
",1.0
7769.jpg,"Class 2
",0.85745883
11265.jpg,"Class 6
",0.97239536
10228.jpg,"Class 2
",0.99999905
8520.jpg,"Class 5
",1.0
7244.jpg,"Class 5
",1.0
7347.jpg,"Class 4
",0.99999094
8287.jpg,"Class 2
",0.99974114
11472.jpg,"Class 5
",1.0
10179.jpg,"Class 5
",0.99997485
8233.jpg,"Class 4
",0.93792176
7455.jpg,"Class 2
",0.9999995
11339.jpg,"Class 4
",0.9999964
9141.jpg,"Class 5
",1.0
9173.jpg,"Class 4
",0.9999993
10038.jpg,"Class 2
",0.9847068
7324.jpg,"Class 6
",0.99808997
8365.jpg,"Class 4
",1.0
9897.jpg,"Class 5
",0.99999964
9624.jpg,"Class 3
",0.990928
8004.jpg,"Class 4
",0.9999987
10902.jpg,"Class 6
",0.9996166
11977.jpg,"Class 5
",0.99999785
10149.jpg,"Class 2
",1.0
10524.jpg,"Class 6
",0.9987379
9776.jpg,"Class 2
",0.83914953
11897.jpg,"Class 2
",0.99999976
10405.jpg,"Class 5
",1.0
9774.jpg,"Class 2
",1.0
11884.jpg,"Class 2
",0.99999964
8883.jpg,"Class 5
",0.99999964
9264.jpg,"Class 4
",0.73793906
10959.jpg,"Class 4
",0.90716726
9989.jpg,"Class 4
",0.9999603
9406.jpg,"Class 2
",0.77184284
7592.jpg,"Class 2
",0.99999416
8929.jpg,"Class 4
",0.9991898
10680.jpg,"Class 4
",0.76935744
8707.jpg,"Class 5
",1.0
7755.jpg,"Class 2
",0.93943346
7771.jpg,"Class 2
",0.99384993
8073.jpg,"Class 2
",0.99999964
11831.jpg,"Class 6
",0.9988933
7442.jpg,"Class 3
",0.99999964
7227.jpg,"Class 2
",0.605703
7909.jpg,"Class 4
",0.7967828
9967.jpg,"Class 4
",0.96233535
10743.jpg,"Class 4
",0.99828786
10967.jpg,"Class 4
",0.94052
7920.jpg,"Class 4
",0.8201487
7404.jpg,"Class 4
",0.99987066
10086.jpg,"Class 3
",1.0
9920.jpg,"Class 5
",1.0
7600.jpg,"Class 2
",1.0
11155.jpg,"Class 5
",1.0
10479.jpg,"Class 4
",0.9130389
9385.jpg,"Class 4
",0.99794346
7644.jpg,"Class 5
",0.99999726
8726.jpg,"Class 2
",0.9998789
9531.jpg,"Class 5
",0.7353924
8915.jpg,"Class 3
",0.957198
10215.jpg,"Class 4
",0.9908585
9581.jpg,"Class 2
",1.0
10592.jpg,"Class 5
",1.0
9758.jpg,"Class 4
",0.951943
10944.jpg,"Class 4
",0.9999393
9954.jpg,"Class 4
",0.99999976
11804.jpg,"Class 5
",1.0
11264.jpg,"Class 2
",0.9999999
8130.jpg,"Class 2
",0.6380031
10032.jpg,"Class 2
",1.0
11210.jpg,"Class 2
",0.5352977
9161.jpg,"Class 4
",0.99998045
10795.jpg,"Class 4
",0.9932581
8753.jpg,"Class 4
",0.9999833
10378.jpg,"Class 4
",1.0
10289.jpg,"Class 2
",0.550382
11636.jpg,"Class 4
",0.7504881
7304.jpg,"Class 4
",0.696358
7795.jpg,"Class 2
",1.0
8560.jpg,"Class 5
",1.0
9697.jpg,"Class 5
",0.9999981
10212.jpg,"Class 2
",0.99999857
9962.jpg,"Class 5
",0.9996208
9436.jpg,"Class 5
",0.98650986
11877.jpg,"Class 2
",0.88088685
10497.jpg,"Class 2
",0.99979836
7352.jpg,"Class 2
",0.9955029
10888.jpg,"Class 2
",0.9464775
7472.jpg,"Class 4
",0.99582314
11581.jpg,"Class 2
",0.9999194
11642.jpg,"Class 2
",0.99999976
8783.jpg,"Class 5
",1.0
9635.jpg,"Class 4
",0.9999862
7504.jpg,"Class 5
",1.0
7249.jpg,"Class 5
",1.0
10288.jpg,"Class 2
",1.0
8574.jpg,"Class 4
",0.99999785
8507.jpg,"Class 4
",1.0
7548.jpg,"Class 3
",0.99999976
8990.jpg,"Class 6
",0.76304924
11029.jpg,"Class 2
",0.5371661
7549.jpg,"Class 2
",0.9998153
9160.jpg,"Class 2
",0.9999999
8050.jpg,"Class 4
",0.9888121
7590.jpg,"Class 2
",0.9663734
11687.jpg,"Class 2
",0.99977106
8280.jpg,"Class 5
",0.9974654
7343.jpg,"Class 2
",1.0
8456.jpg,"Class 5
",1.0
9030.jpg,"Class 6
",0.9406338
9613.jpg,"Class 3
",0.9999999
11149.jpg,"Class 2
",1.0
11108.jpg,"Class 5
",1.0
7579.jpg,"Class 3
",1.0
10331.jpg,"Class 4
",0.9567237
11389.jpg,"Class 4
",0.9058924
8157.jpg,"Class 4
",0.99999964
9963.jpg,"Class 4
",0.96056706
11498.jpg,"Class 4
",0.9371711
9977.jpg,"Class 4
",0.9999993
7279.jpg,"Class 4
",1.0
11391.jpg,"Class 4
",0.9886699
9828.jpg,"Class 2
",0.9999759
8038.jpg,"Class 6
",0.99999976
8690.jpg,"Class 5
",1.0
8423.jpg,"Class 2
",0.9961216
7627.jpg,"Class 6
",0.9999273
8274.jpg,"Class 2
",0.9995859
9693.jpg,"Class 2
",0.99781203
7628.jpg,"Class 6
",1.0
7596.jpg,"Class 3
",0.99999964
10118.jpg,"Class 3
",1.0
7802.jpg,"Class 4
",1.0
8913.jpg,"Class 4
",0.8434998
9614.jpg,"Class 4
",0.9308285
10206.jpg,"Class 2
",0.9999769
7902.jpg,"Class 2
",0.9983298
7495.jpg,"Class 4
",0.66028726
8191.jpg,"Class 2
",0.9593029
9331.jpg,"Class 2
",0.9110377
11153.jpg,"Class 4
",0.9961623
10550.jpg,"Class 4
",0.9999757
9006.jpg,"Class 4
",0.9999057
9840.jpg,"Class 2
",0.99832445
10091.jpg,"Class 2
",0.99999964
10793.jpg,"Class 2
",0.9444179
8989.jpg,"Class 2
",0.9993332
8153.jpg,"Class 2
",0.9999926
9927.jpg,"Class 5
",1.0
11759.jpg,"Class 2
",0.9999261
7996.jpg,"Class 2
",0.8860759
11587.jpg,"Class 4
",1.0
11943.jpg,"Class 3
",0.91759574
10627.jpg,"Class 5
",0.999992
11534.jpg,"Class 2
",1.0
10141.jpg,"Class 4
",0.9999877
11140.jpg,"Class 2
",0.8058668
9809.jpg,"Class 5
",1.0
7499.jpg,"Class 4
",0.9996006
8177.jpg,"Class 3
",0.9999975
11492.jpg,"Class 6
",0.6088113
9021.jpg,"Class 2
",0.91765344
11787.jpg,"Class 6
",0.9768519
10115.jpg,"Class 6
",1.0
9661.jpg,"Class 2
",0.999509
10764.jpg,"Class 4
",0.89953816
7765.jpg,"Class 6
",0.77577937
8895.jpg,"Class 5
",1.0
8666.jpg,"Class 4
",0.9999999
11818.jpg,"Class 4
",0.9986143
11874.jpg,"Class 4
",0.99999714
7361.jpg,"Class 4
",0.49864244
9506.jpg,"Class 2
",0.97651017
9980.jpg,"Class 2
",0.9999981
11604.jpg,"Class 2
",0.9999075
10670.jpg,"Class 2
",0.554009
10402.jpg,"Class 3
",0.99680495
7291.jpg,"Class 6
",0.94670635
8154.jpg,"Class 2
",0.9999993
10751.jpg,"Class 2
",0.8324049
8121.jpg,"Class 4
",1.0
10639.jpg,"Class 2
",0.9999361
8802.jpg,"Class 4
",0.9217335
7513.jpg,"Class 4
",0.9999999
8308.jpg,"Class 4
",1.0
9371.jpg,"Class 2
",0.99998724
11776.jpg,"Class 3
",1.0
10046.jpg,"Class 5
",1.0
8080.jpg,"Class 5
",1.0
8858.jpg,"Class 6
",0.9999999
8304.jpg,"Class 2
",0.9999951
8961.jpg,"Class 6
",0.99782526
8744.jpg,"Class 2
",0.9867885
11012.jpg,"Class 5
",0.9996055
10279.jpg,"Class 5
",1.0
10148.jpg,"Class 2
",0.5176959
7255.jpg,"Class 6
",0.8016058
9759.jpg,"Class 5
",1.0
8350.jpg,"Class 3
",1.0
9053.jpg,"Class 4
",0.9874943
11685.jpg,"Class 5
",1.0
7245.jpg,"Class 4
",0.8418737
10489.jpg,"Class 4
",0.5897861
7929.jpg,"Class 3
",0.999944
8717.jpg,"Class 5
",0.9740651
7656.jpg,"Class 5
",0.9999999
8737.jpg,"Class 4
",0.99990773
9886.jpg,"Class 2
",0.9999924
7794.jpg,"Class 4
",0.9999999
8784.jpg,"Class 3
",1.0
10917.jpg,"Class 4
",0.9594758
11224.jpg,"Class 4
",0.9997898
7680.jpg,"Class 4
",1.0
11602.jpg,"Class 5
",1.0
11521.jpg,"Class 3
",0.9938585
7340.jpg,"Class 4
",0.99103177
10742.jpg,"Class 4
",0.79901856
9645.jpg,"Class 2
",0.9789691
9854.jpg,"Class 5
",1.0
10009.jpg,"Class 4
",0.8436789
8600.jpg,"Class 6
",1.0
9231.jpg,"Class 2
",0.99987614
7715.jpg,"Class 2
",0.9996954
7294.jpg,"Class 2
",1.0
8165.jpg,"Class 6
",1.0
9169.jpg,"Class 4
",1.0
9620.jpg,"Class 2
",1.0
9858.jpg,"Class 5
",1.0
10376.jpg,"Class 5
",1.0
8816.jpg,"Class 4
",0.9998746
7274.jpg,"Class 5
",0.999938
11504.jpg,"Class 2
",0.99999964
9934.jpg,"Class 2
",0.6854513
10411.jpg,"Class 4
",0.99997413
9682.jpg,"Class 2
",0.9997557
8500.jpg,"Class 2
",0.97392875
9022.jpg,"Class 4
",0.9999598
11915.jpg,"Class 5
",0.99999976
9152.jpg,"Class 6
",0.9804253
11103.jpg,"Class 2
",0.77137375
8556.jpg,"Class 6
",0.998154
11792.jpg,"Class 4
",0.99998665
11297.jpg,"Class 2
",0.99999964
9915.jpg,"Class 5
",0.9999697
10512.jpg,"Class 2
",0.9999627
10628.jpg,"Class 4
",0.7157592
9694.jpg,"Class 5
",0.9421618
7739.jpg,"Class 5
",1.0
11638.jpg,"Class 2
",0.9393061
8957.jpg,"Class 4
",0.9896836
7797.jpg,"Class 5
",0.9996259
9492.jpg,"Class 2
",0.99995863
9968.jpg,"Class 2
",0.99956745
9965.jpg,"Class 2
",0.9999782
11652.jpg,"Class 4
",0.9897872
7670.jpg,"Class 2
",0.99478614
7820.jpg,"Class 6
",0.9841612
8841.jpg,"Class 5
",1.0
11138.jpg,"Class 2
",0.9869065
11889.jpg,"Class 4
",0.99988425
9134.jpg,"Class 5
",0.999998
10160.jpg,"Class 2
",0.9999931
8437.jpg,"Class 3
",0.8975755
9375.jpg,"Class 6
",0.9999999
8962.jpg,"Class 2
",0.9999945
11541.jpg,"Class 2
",0.6207743
8045.jpg,"Class 3
",1.0
7908.jpg,"Class 5
",1.0
9830.jpg,"Class 2
",0.99964094
10178.jpg,"Class 4
",0.9998267
11036.jpg,"Class 3
",0.9999999
11380.jpg,"Class 4
",0.99999595
10096.jpg,"Class 3
",0.9999999
10455.jpg,"Class 2
",1.0
8419.jpg,"Class 4
",1.0
11052.jpg,"Class 6
",0.55913603
8027.jpg,"Class 5
",1.0
8756.jpg,"Class 2
",0.9667012
11533.jpg,"Class 6
",0.50342727
11523.jpg,"Class 4
",0.99992764
9807.jpg,"Class 4
",0.99999785
7597.jpg,"Class 6
",0.9998356
9127.jpg,"Class 6
",0.57612497
7733.jpg,"Class 2
",1.0
7962.jpg,"Class 1
",0.6230396
10295.jpg,"Class 2
",1.0
9339.jpg,"Class 5
",1.0
10303.jpg,"Class 4
",1.0
8109.jpg,"Class 4
",1.0
10385.jpg,"Class 4
",1.0
8835.jpg,"Class 5
",0.98135126
10132.jpg,"Class 2
",0.9999386
10010.jpg,"Class 5
",1.0
11390.jpg,"Class 3
",1.0
7997.jpg,"Class 3
",1.0
11848.jpg,"Class 4
",0.9998542
11594.jpg,"Class 2
",1.0
9833.jpg,"Class 4
",0.9956144
10106.jpg,"Class 3
",0.99999917
10056.jpg,"Class 6
",0.999984
9139.jpg,"Class 2
",1.0
10457.jpg,"Class 4
",0.9856489
11849.jpg,"Class 2
",1.0
8728.jpg,"Class 4
",0.9999417
8811.jpg,"Class 6
",0.97798336
10121.jpg,"Class 4
",0.9955889
10089.jpg,"Class 5
",1.0
11738.jpg,"Class 5
",1.0
10301.jpg,"Class 2
",0.94267166
7562.jpg,"Class 5
",1.0
7965.jpg,"Class 5
",0.99999976
9414.jpg,"Class 5
",1.0
11243.jpg,"Class 6
",0.9999999
9773.jpg,"Class 2
",0.999998
7393.jpg,"Class 2
",0.9999999
11983.jpg,"Class 4
",0.9999287
11616.jpg,"Class 4
",0.98091966
7528.jpg,"Class 2
",0.9995677
9251.jpg,"Class 2
",0.97119755
11990.jpg,"Class 5
",0.99999976
9294.jpg,"Class 4
",0.929367
8441.jpg,"Class 4
",1.0
8192.jpg,"Class 2
",0.99994874
10251.jpg,"Class 2
",0.9663811
11671.jpg,"Class 4
",0.82449424
7944.jpg,"Class 5
",0.94819105
9191.jpg,"Class 4
",0.5812935
10372.jpg,"Class 2
",1.0
11428.jpg,"Class 2
",0.9999994
7827.jpg,"Class 4
",0.97336674
9733.jpg,"Class 5
",1.0
8264.jpg,"Class 4
",0.9765879
11209.jpg,"Class 3
",0.9999962
9275.jpg,"Class 4
",0.9999975
8341.jpg,"Class 2
",0.979508
7893.jpg,"Class 4
",0.98880076
9700.jpg,"Class 6
",0.564191
7382.jpg,"Class 4
",0.9971794
8932.jpg,"Class 4
",0.5032366
11815.jpg,"Class 2
",1.0
8846.jpg,"Class 2
",0.99999964
11908.jpg,"Class 5
",0.9290716
9783.jpg,"Class 6
",0.99987376
8967.jpg,"Class 6
",0.99361444
11099.jpg,"Class 2
",0.99998367
7300.jpg,"Class 2
",0.99999833
9112.jpg,"Class 5
",1.0
9875.jpg,"Class 5
",1.0
8016.jpg,"Class 4
",0.975159
8868.jpg,"Class 3
",1.0
9062.jpg,"Class 2
",1.0
11910.jpg,"Class 4
",0.99998426
9841.jpg,"Class 2
",0.9313977
10100.jpg,"Class 6
",0.98691815
8296.jpg,"Class 2
",0.99999344
8663.jpg,"Class 2
",0.9999975
11281.jpg,"Class 4
",0.9929484
11561.jpg,"Class 2
",0.9511297
9038.jpg,"Class 6
",0.9999995
7801.jpg,"Class 5
",1.0
7810.jpg,"Class 3
",0.9999976
7264.jpg,"Class 4
",0.8771517
8139.jpg,"Class 5
",0.99999964
10395.jpg,"Class 5
",0.999987
9214.jpg,"Class 4
",1.0
8107.jpg,"Class 6
",1.0
11443.jpg,"Class 6
",0.92074305
11047.jpg,"Class 5
",0.9996264
9432.jpg,"Class 3
",1.0
10252.jpg,"Class 6
",0.74470747
11071.jpg,"Class 2
",1.0
11002.jpg,"Class 2
",0.9999993
11267.jpg,"Class 2
",1.0
7937.jpg,"Class 4
",0.99962115
11319.jpg,"Class 6
",0.992687
11255.jpg,"Class 4
",1.0
8446.jpg,"Class 5
",1.0
11260.jpg,"Class 2
",0.999946
11223.jpg,"Class 4
",0.9999652
9609.jpg,"Class 6
",0.99858224
8407.jpg,"Class 4
",0.9999709
11619.jpg,"Class 6
",0.9999695
7833.jpg,"Class 4
",0.989139
9396.jpg,"Class 5
",1.0
10157.jpg,"Class 3
",1.0
10125.jpg,"Class 4
",0.99380386
10191.jpg,"Class 5
",0.9999999
7466.jpg,"Class 2
",1.0
9404.jpg,"Class 4
",1.0
10475.jpg,"Class 2
",1.0
8729.jpg,"Class 5
",1.0
8658.jpg,"Class 1
",0.97477144
9654.jpg,"Class 4
",0.64977133
9723.jpg,"Class 4
",0.5157695
11992.jpg,"Class 6
",0.94835395
9568.jpg,"Class 5
",1.0
8861.jpg,"Class 2
",0.99995375
11635.jpg,"Class 4
",0.9999379
7764.jpg,"Class 2
",0.7826893
8110.jpg,"Class 4
",0.8754532
10498.jpg,"Class 4
",0.9996051
11544.jpg,"Class 3
",1.0
11312.jpg,"Class 2
",0.95895207
7270.jpg,"Class 3
",1.0
8449.jpg,"Class 6
",1.0
8311.jpg,"Class 4
",0.9998685
10943.jpg,"Class 5
",0.99995494
8770.jpg,"Class 4
",0.99679035
8215.jpg,"Class 2
",0.9085824
7362.jpg,"Class 2
",0.9452271
10683.jpg,"Class 4
",0.5720602
9105.jpg,"Class 4
",0.98607963
8641.jpg,"Class 4
",0.9999987
8824.jpg,"Class 6
",0.9836173
11237.jpg,"Class 2
",0.9999989
9483.jpg,"Class 6
",1.0
8599.jpg,"Class 2
",0.973989
10256.jpg,"Class 2
",0.948693
10615.jpg,"Class 2
",0.999966
7867.jpg,"Class 2
",0.9981621
11649.jpg,"Class 1
",0.6709665
9995.jpg,"Class 2
",0.99999917
7469.jpg,"Class 1
",0.679962
10941.jpg,"Class 4
",0.99937785
11803.jpg,"Class 2
",0.9999999
8176.jpg,"Class 2
",1.0
10801.jpg,"Class 6
",0.9930207
11425.jpg,"Class 2
",0.99990344
8774.jpg,"Class 4
",0.99999905
11369.jpg,"Class 5
",1.0
10926.jpg,"Class 2
",0.9999844
7689.jpg,"Class 2
",1.0
9755.jpg,"Class 4
",0.8559235
7899.jpg,"Class 4
",0.9993395
10391.jpg,"Class 2
",0.9785371
9699.jpg,"Class 6
",0.5590849
11996.jpg,"Class 6
",0.9917653
11449.jpg,"Class 2
",0.9884593
8403.jpg,"Class 5
",1.0
7619.jpg,"Class 4
",0.997063
10245.jpg,"Class 2
",0.9999999
11795.jpg,"Class 4
",1.0
8092.jpg,"Class 5
",1.0
7855.jpg,"Class 6
",0.9989208
11859.jpg,"Class 2
",0.8990667
8648.jpg,"Class 5
",1.0
8444.jpg,"Class 6
",0.99676526
11655.jpg,"Class 5
",0.97089046
10058.jpg,"Class 2
",0.9956167
8353.jpg,"Class 4
",0.99999464
9940.jpg,"Class 3
",0.9999995
7951.jpg,"Class 2
",0.99998903
11711.jpg,"Class 3
",0.9982322
7421.jpg,"Class 4
",0.9999616
8356.jpg,"Class 2
",0.99995327
9592.jpg,"Class 4
",0.93898535
7652.jpg,"Class 2
",0.9960024
8645.jpg,"Class 5
",1.0
10609.jpg,"Class 3
",0.9999999
9081.jpg,"Class 2
",0.8962775
11808.jpg,"Class 3
",0.993704
11379.jpg,"Class 4
",1.0
7351.jpg,"Class 2
",0.5526613
9692.jpg,"Class 4
",0.9958038
10029.jpg,"Class 4
",0.9999764
10057.jpg,"Class 5
",1.0
10874.jpg,"Class 2
",0.7462668
11559.jpg,"Class 5
",0.99341327
10897.jpg,"Class 4
",0.91987973
9543.jpg,"Class 4
",0.9999386
10093.jpg,"Class 2
",0.9952636
10012.jpg,"Class 2
",0.99988925
9523.jpg,"Class 4
",1.0
9043.jpg,"Class 6
",0.9995757
8616.jpg,"Class 4
",1.0
10921.jpg,"Class 6
",0.9998185
8646.jpg,"Class 5
",1.0
11143.jpg,"Class 5
",0.999897
11552.jpg,"Class 2
",0.9997974
9271.jpg,"Class 2
",0.92654186
11042.jpg,"Class 5
",1.0
11954.jpg,"Class 5
",1.0
11564.jpg,"Class 4
",0.99999654
11386.jpg,"Class 4
",0.8513786
10619.jpg,"Class 4
",0.81745434
8891.jpg,"Class 4
",0.99998856
9634.jpg,"Class 4
",0.9986405
8083.jpg,"Class 5
",0.52356917
11852.jpg,"Class 2
",0.99984205
7218.jpg,"Class 3
",1.0
8655.jpg,"Class 2
",0.99644536
10665.jpg,"Class 5
",1.0
8914.jpg,"Class 2
",0.99999964
11469.jpg,"Class 5
",0.9999989
11479.jpg,"Class 6
",1.0
8376.jpg,"Class 4
",1.0
8935.jpg,"Class 2
",0.9815097
9730.jpg,"Class 2
",0.83833
8950.jpg,"Class 2
",0.7227046
11216.jpg,"Class 2
",1.0
8865.jpg,"Class 6
",0.84924537
7350.jpg,"Class 4
",0.9999989
8504.jpg,"Class 2
",0.99970704
10760.jpg,"Class 2
",0.9892691
7586.jpg,"Class 5
",1.0
10298.jpg,"Class 4
",0.95831376
8394.jpg,"Class 4
",0.99999595
8332.jpg,"Class 3
",1.0
9476.jpg,"Class 4
",1.0
11087.jpg,"Class 2
",0.99999964
10844.jpg,"Class 2
",1.0
8095.jpg,"Class 2
",0.9976706
11821.jpg,"Class 2
",0.6796481
10064.jpg,"Class 5
",1.0
10935.jpg,"Class 6
",0.99410915
11515.jpg,"Class 2
",0.988577
8713.jpg,"Class 2
",0.99950933
10258.jpg,"Class 6
",0.9999784
8527.jpg,"Class 4
",1.0
8652.jpg,"Class 2
",0.99968207
11150.jpg,"Class 2
",0.9993143
11088.jpg,"Class 4
",0.6082769
8054.jpg,"Class 2
",0.99996936
8104.jpg,"Class 2
",1.0
11453.jpg,"Class 5
",0.9072835
10948.jpg,"Class 2
",0.99999964
11682.jpg,"Class 4
",0.997044
7976.jpg,"Class 4
",0.99959666
9647.jpg,"Class 4
",0.99999964
10375.jpg,"Class 2
",0.9194992
10467.jpg,"Class 5
",1.0
7345.jpg,"Class 2
",0.9976312
8008.jpg,"Class 4
",0.99973375
11898.jpg,"Class 2
",0.9967116
7234.jpg,"Class 5
",1.0
9992.jpg,"Class 5
",1.0
8831.jpg,"Class 2
",0.99999976
9356.jpg,"Class 3
",0.5773021
8018.jpg,"Class 2
",0.99902713
9785.jpg,"Class 4
",0.9905496
9494.jpg,"Class 3
",0.99999917
10199.jpg,"Class 2
",1.0
9489.jpg,"Class 2
",0.9943691
11468.jpg,"Class 3
",0.9601708
9369.jpg,"Class 3
",0.997127
7875.jpg,"Class 4
",0.6179045
10761.jpg,"Class 5
",0.9999995
7223.jpg,"Class 2
",0.9999883
7557.jpg,"Class 2
",0.9999989
10159.jpg,"Class 5
",0.9674686
8547.jpg,"Class 4
",0.85838616
7995.jpg,"Class 4
",0.9987846
11035.jpg,"Class 4
",0.5367184
11112.jpg,"Class 2
",1.0
9019.jpg,"Class 4
",0.98768103
10866.jpg,"Class 2
",0.99895847
10187.jpg,"Class 4
",0.9999685
9133.jpg,"Class 4
",0.99998593
7863.jpg,"Class 1
",0.9996531
7564.jpg,"Class 2
",0.7166289
8893.jpg,"Class 4
",0.91411865
7984.jpg,"Class 2
",0.99997437
10990.jpg,"Class 4
",1.0
8276.jpg,"Class 4
",0.99999976
8392.jpg,"Class 4
",0.999972
8791.jpg,"Class 2
",0.9989064
11407.jpg,"Class 2
",0.9710896
11298.jpg,"Class 4
",0.99213904
8826.jpg,"Class 4
",0.838248
9957.jpg,"Class 2
",0.99819726
7845.jpg,"Class 4
",0.99854267
11735.jpg,"Class 4
",0.9799448
8070.jpg,"Class 6
",0.75847346
8496.jpg,"Class 4
",0.49759537
10061.jpg,"Class 6
",0.9999995
10224.jpg,"Class 4
",0.9485068
7508.jpg,"Class 4
",0.9985214
10048.jpg,"Class 2
",1.0
11456.jpg,"Class 4
",0.9999968
10579.jpg,"Class 5
",1.0
11450.jpg,"Class 6
",0.9996569
8462.jpg,"Class 4
",1.0
9308.jpg,"Class 6
",0.99725276
9442.jpg,"Class 2
",0.9860617
10713.jpg,"Class 2
",0.86809844
8035.jpg,"Class 5
",1.0
11998.jpg,"Class 4
",0.9062729
